row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
504,정상운영,체력단련장,익산시,모현동1가,전라북도,위너스 피트니스,전라북도 익산시 배산로 139 (모현동1가),전라북도 익산시 모현동1가 875
505,정상운영,체력단련장,광명시,광명동,경기도,뱅가드 피트니스,경기도 광명시 광화로 22(광명동),경기도 광명시 광명동 352-14 로얄프라자
506,정상운영,체력단련장,광명시,철산동,경기도,MK(GYM'S),경기도 광명시 모세로 40(철산동),경기도 광명시 철산동 240 주공상가
507,정상운영,체력단련장,남양주시,오남리,경기도,DEVIL KIM,경기도 남양주시 오남읍 진건오남로 545-5,경기도 남양주시 오남읍 오남리 525
508,정상운영,체력단련장,기장군,,부산광역시,젬마짐,부산광역시 기장군 일광읍 해빛5로 25,부산광역시 기장군 일광읍 삼성리 808-6
509,폐업,체력단련장,강남구,논현동,서울특별시,바디핏 스타일,"서울특별시 강남구 언주로152길 15-5, 지하1층 (신사동)",서울특별시 강남구 신사동 631-27 
510,정상운영,체력단련장,서대문구,연희동,서울특별시,아지트(Hide out),서울특별시 서대문구 연희로 107-1 (연희동),서울특별시 서대문구 연희동 137-10
511,폐업,체력단련장,남동구,구월동,인천광역시,아시아드 짐,인천광역시 남동구 인하로 616 (구월동),인천광역시 남동구 구월동 1519 커뮤니티프라자
512,정상운영,체력단련장,서대문구,연희동,서울특별시,플렉스피티,서울특별시 서대문구 연희맛로 32 (연희동),서울특별시 서대문구 연희동 137-15
513,정상운영,체력단련장,남구,문학동,인천광역시,하나헬스피아,인천광역시 남구 문학길 9-9 (문학동),
514,정상운영,체력단련장,군포시,도마교동,경기도,리니핏PT,경기도 군포시 송부로 76(도마교동),경기도 군포시 도마교동 473
515,정상운영,체력단련장,서대문구,북가좌동,서울특별시,OPgym,서울특별시 서대문구 응암로 113 (북가좌동),서울특별시 서대문구 북가좌동 333-4
516,정상운영,체력단련장,화성시,,경기도,유나핏(YUNA BODY LAB),경기도 화성시 지산2길 34-8 (영천동),경기도 화성시 영천동 707-5
517,정상운영,체력단련장,수성구,,대구광역시,탑스피트니스 수성점,"대구광역시 수성구 수성로 412 (수성동4가, 수성보성타운)",대구광역시 수성구 수성동4가 1090-6 수성보성타운
518,정상운영,체력단련장,수성구,,대구광역시,탑클래스 짐 수성점,"대구광역시 수성구 수성로 412 (수성동4가, 수성보성타운)",대구광역시 수성구 수성동4가 1090-6 수성보성타운
519,정상운영,체력단련장,동구,용운동,대전광역시,페르소나 PT,대전광역시 동구 용운로 83 (용운동),대전광역시 동구 용운동 448-4
