row_num,faci_stat_nm,ftype_nm,cp_nm,cpb_nm,addr_emd_nm,faci_nm,faci_road_addr,faci_addr,faci_lat,faci_lot
6460,정상운영,축구장,전라남도,곡성군,교촌리,동악체육공원,전라남도 곡성군 곡성읍 학교로 56,,0,0
6461,정상운영,축구장,경상남도,창원시,용잠리,동읍운동장,경상남도 창원시 의창구 동읍 동읍로 88,,0,0
6462,정상운영,축구장,경기도,평택시,,오산천체육시설축구장,서탄면 금암리 126-5,,0,0
6463,정상운영,축구장,경상남도,함안군,,함안스포츠타운축구장2,,,0,0
6464,정상운영,축구장,경상북도,군위군,,생활체육공원축구장(1),,,0,0
6465,정상운영,축구장,경기도,용인시,,수지레스피아축구장,죽전동 1003-235일원,경기 용인시 수지구 죽전동 1003-235,0,0
6466,정상운영,축구장,충청남도,금산군,,남부체육문화센타축구장,,,0,0
6467,정상운영,축구장,서울특별시,중구,,손기정체육공원인조잔디축구장,중구 손기정로 101,서울 중구 손기정로 101,0,0
6468,정상운영,축구장,경기도,의정부시,,직동축구장,의정부시 호국로1162번길 73,경기 의정부시 호국로1162번길 73,0,0
6469,정상운영,축구장,경기도,양평군,,양동레포츠공원축구장,양동면 쌍학리 45번지,경기 양평군 양동면 쌍학리 45,0,0
6470,정상운영,축구장,경상남도,함안군,,법수면공설운동장,,,0,0
6471,정상운영,축구장,광주광역시,광산구,안청동,안청공원인조잔디축구장,광주광역시 광산구 하남산단9번로 62 (안청동),광주광역시 광산구 안청동 736-1,0,0
6472,정상운영,축구장,충청남도,예산군,산성리,무한천체육공원축구장,충청남도 예산군 예산읍 무한산성1길 46,,0,0
6473,정상운영,축구장,충청북도,충주시,,삼탄잔디구장,,산척면 명서리 447-1,0,0
6474,정상운영,축구장,경기도,하남시,선동,선동둔치 체육시설,경기도 하남시 미사강변한강로 75 (선동),경기도 하남시 선동  418 미사강변고등학교,0,0
6475,정상운영,축구장,경상남도,산청군,,단성묵곡축구장,,,0,0
6476,정상운영,축구장,경상남도,의령군,,정곡공설운동장,의령군 정곡면 성황리 793,경남 의령군 정곡면 성황리 793,0,0
6477,정상운영,축구장,경기도,가평군,대곡리,가평생활체육공원축구장,경기도 가평군 가평읍 문화로 131,,0,0
6478,정상운영,축구장,경상남도,함안군,,함안축구전용구장1,가야읍 도항리 249-1,경남 함안군 가야읍 도항리 249-1,0,0
6479,정상운영,축구장,인천광역시,남동구,,남동공단근린공원인조잔디축구장,,,0,0
