row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_nm,faci_road_addr,faci_addr
172,정상운영,37.54350838,태권도,강동구,,127.1287662,서울특별시,국일태권도장,서울특별시 강동구 천중로16길 34(천호동),
173,정상운영,,태권도,서구,가좌동,,인천광역시,가좌동 스탈릿 백호태권도장,"인천광역시 서구 여우재로 130, JK프라자 203호 (가좌동)",인천광역시 서구 가좌동 308-1 JK프라자 
174,정상운영,,태권도,서구,신현동,,인천광역시,K타이거즈 백호 태권도장,"인천광역시 서구 새오개로111번안길 2, 301호 (신현동)",인천광역시 서구 신현동 308-9 301호
175,정상운영,,태권도,서구,왕길동,,인천광역시,검단체육관,인천광역시 서구 봉수대로1440번길 45 (왕길동),인천광역시 서구 왕길동 634-1 신명A상가 3층 검단체육관 
176,정상운영,34.48316072,태권도,진도군,,126.2650983,전라남도,드래곤태권도, 진도읍 쌍정2길 39(신협3층),
177,정상운영,37.68253766,태권도,홍천군,,127.8774638,강원도,극동 태권도장,강원도 홍천군 홍천읍 연봉로 27,강원도 홍천군 홍천읍 연봉리 158-10 
178,정상운영,37.6281981,태권도,남양주시,,127.1563985,경기도,국가대표 다산 태권도장,"경기도 남양주시 다산중앙로172번길 38, 엘투프라자 2층 201,202호 (다산동)","경기도 남양주시 다산동 6030-1번지 엘투프라자 2층 201,202호 "
179,정상운영,37.24065594,태권도,수원시,망포동,127.0485127,경기도,용인대 망포태권도장,"경기도 수원시 영통구 태장로7번길 49, 영통 플래티넘베이스 씨 302호 (망포동)",경기도 수원시 영통구 망포동 53-36 영통 플래티넘베이스 씨 
180,정상운영,37.66653719,태권도,도봉구,,127.0340796,서울특별시,충효태권도장,도당로13길49,서울 도봉구 도당로13길 49
181,폐업,35.56028248,태권도,북구,효문동,129.3752457,울산광역시,나라찬태권도장,"울산광역시 북구 율동2길 8 (효문동, 효문코오롱하늘채)",울산광역시 북구 효문동 1039 효문코오롱하늘채
