row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
149,정상운영,축구,시흥시,대야동,경기도,주식회사 풋볼아이스포츠,경기도 시흥시 비둘기공원5길 7(대야동),경기도 시흥시 대야동 536
150,정상운영,축구,연수구,,인천광역시,YSC어린이스포츠클럽,"인천광역시 연수구 앵고개로 266, 한양2차아파트(롯데슈퍼) A동 2층 6호 (동춘동)",인천광역시 연수구 동춘동 932 한양2차아파트(롯데슈퍼) 
151,정상운영,축구,파주시,임진리,경기도,에프씨 파주 주니어 (FC 파주 주니어),경기도 파주시 문산읍 임진나루길 344-12,경기도 파주시 문산읍 임진리 102 
152,정상운영,축구,군포시,대야미동,경기도,연세산본FC,경기도 군포시 대야1로 7(대야미동),경기도 군포시 대야미동 662-2
153,정상운영,축구,청주시,미평동,충청북도,WIN FC 실내축구센터,충청북도 청주시 서원구 남지로41번길 5(미평동),충청북도 청주시 서원구 미평동 258-13
154,정상운영,축구,청주시,가마리,충청북도,SKK유소년축구클럽,충청북도 청주시 서원구 남이면 가마길 47,충청북도 청주시 서원구 남이면 가마리 315 (주)탑몰
155,정상운영,축구,청주시,가마리,충청북도,SKK스포츠센터,충청북도 청주시 서원구 남이면 가마길 49,충청북도 청주시 서원구 남이면 가마리 318
156,정상운영,축구,원주시,,강원도,FSL,,강원도 원주시 무실동 2900-1 2층 
157,정상운영,축구,김포시,,경기도,김포 ONE FC,경기도 김포시 양촌읍 김포한강4로278번길 31,경기도 김포시 양촌읍 석모리 378-23
158,정상운영,축구,강릉시,,강원도,강릉시민축구단 유소년,강원도 강릉시 안땔길 2(노암동),강원도 강릉시 노암동 724-3
159,정상운영,축구,중구,,울산광역시,잇츠풋볼,울산광역시 중구 함월18길 5(성안동),울산광역시 중구 성안동 801-5
160,정상운영,축구,중구,,울산광역시,박진포 풋볼아카데미,울산광역시 중구 평산로 57(약사동),울산광역시 중구 약사동 814-2
161,정상운영,축구장,양산시,북부동,경상남도,(축구장-02) 양산종합운동장 보조구장,경상남도 양산시 양산대로 849 (북부동),경상남도 양산시 북부동 533 양산종합운동장
162,정상운영,축구,청송군,,경상북도,청송FC,경상북도 청송군 진보면 진보로 112,"경상북도 청송군 진보면 진안리 468-16 정호식당, 맥심다방"
163,정상운영,축구,창녕군,,경상남도,연세축구클럽,경상남도 창녕군 대합면 소야모전길 111-7,경상남도 창녕군 대합면 모전리 산37
164,정상운영,축구장,,장수동,인천광역시,인천장수구장,인천광역시 남동구 무네미로 238 (장수동),
165,정상운영,축구,수원시,서둔동,경기도,RFA 유소년 축구교실,경기도 수원시 권선구 세화로 134(서둔동),경기도 수원시 권선구 서둔동 381 롯데몰 수원점
166,정상운영,축구,수원시,탑동,경기도,권선 리틀 축구클럽,경기도 수원시 권선구 호매실로 46-16(탑동),경기도 수원시 권선구 탑동 903 경기종합노동복지회관
167,정상운영,축구장,양산시,어곡동,경상남도,(축구장-13) 어곡산업단지근린공원,경상남도 양산시 어곡공단3길 50(어곡동),경상남도 양산시 어곡동 859
168,정상운영,축구,화성시,구문천리,경기도,주식회사 향남유나이티드,경기도 화성시 향남읍 장안로 795,경기도 화성시 향남읍 구문천리 348-3
169,정상운영,축구,양주시,고암동,경기도,양주탑클래스FC,경기도 양주시 청담로243번길 24 (고암동),경기도 양주시 고암동 341-5
170,정상운영,축구,의정부시,낙양동,경기도,의정부 축구센터,,경기 의정부시 낙양동 769
171,정상운영,축구,군포시,산본동,경기도,Top N Top 스포츠클럽,경기도 군포시 고산로 691 (산본동),경기도 군포시 산본동 1060-2
172,정상운영,축구,화성시,,경기도,주식회사 화성유소년축구클럽,경기도 화성시 우정읍 기아자동차로 562,경기도 화성시 우정읍 화산리 664-35
173,정상운영,축구,용인시,성복동,경기도,PPC축구교실,경기도 용인시 수지구 성복2로 369 (성복동),경기도 용인시 수지구 성복동 628-13
