addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,faci_mng_type_cd,reg_dt,inout_gbn_nm,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_reg_ymd,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"부산광역시","N","7층",251,"20181219","정상운영","자체운영        ","2019-01-15","실내","47542",357,"7층","QkB3feD6bV1ZISDoSu7wJAAUB8Y9YVm95P7sISWfY/s=","체력단련장","연제구","연산동","연제구","47542","","2023-05-05","신고","부산광역시","위드피트니스","부산광역시 연제구 거제천로 94 (연산동)","Y","체력단련장업","부산광역시 연제구 연산동 1505-28 인재빌딩"
"울산광역시","N","601~603호",252,"20230417","정상운영","","2023-04-28","실내","44236",233,"601~603호","","체력단련장","북구","송정동","북구","44236","","2023-04-28","신고","울산광역시","웨일PT&필라테스","울산광역시 북구 박상진11로 21 (송정동)","Y","체력단련장업","울산광역시 북구 송정동 1230-3 보광프라자"
"경기도","N","한숲 스포츠센타 지하 1층",253,"19990401","정상운영","","2023-04-05","없음","15825",532,"한숲 스포츠센타 지하 1층","","체력단련장","군포시","산본동","군포시","15825","","2023-04-05","신고","경기도","한숲스포츠센터","경기도 군포시 산본천로 43-6 (산본동)","Y","체력단련장업","경기도 군포시 산본동 1146 한숲 스포츠센타"
"경기도","N","(주)시간과공간 지하1층",254,"20211112","정상운영","","2021-12-21","없음","16919",488,"(주)시간과공간 지하1층 (언남동)","0pfP/+MPiQRV5kDaBsgDZ772eCLyaqB2zye3ksEQmmU=","체력단련장","용인시","언남동","용인시","16919","","2023-04-05","신고","경기도","유앤짐 구성점","경기도 용인시 기흥구 구성로 88 (주)시간과공간 지하1층 (언남동)","Y","체력단련장업","경기도 용인시 기흥구 언남동 412-2 (주)시간과공간 지하1층 "
"서울특별시","N","",255,"20121026","폐업","자체운영        ","2016-12-31","실내외","08329",102,"","ByZdo4hXJ6wCPgGpqFr3+bpmhq3qqp9GJOLnwNYdxWc=","체력단련장","구로구","개봉동","구로구","08329","20121026","2023-01-31","신고","서울특별시","다온핏","서울특별시 구로구 개봉로20길 78 (개봉동)","Y","체력단련장업","서울특별시 구로구 개봉동 407-18 성동유치원"
"충청남도","N","아이프라자 2",256,"20230111","정상운영","","2023-02-15","실내","32265",222,"아이프라자 2 703호","","체력단련장","홍성군","","홍성군","32265","","2023-02-15","신고","충청남도","바이탈 짐","충청남도 홍성군 홍북읍 홍학로 95","Y","체력단련장업","충청남도 홍성군 홍북읍 신경리 1188 아이프라자 2"
"","N","",257,"20180530","정상운영","","2018-06-29","실내","11757",823,"","aKk5jrvYf0cCYLD0EY0PgxMZ9UwO3IO80DrZ3wVnkHg=","체력단련장","의정부시","금오동","","11757","","2023-02-11","신고","경기도","휘트니스 아시아","경기도 의정부시 청사로 37 (금오동)","Y","체력단련장업","경기도 의정부시 금오동 473-3 신세계프라자"
"강원도","N","",258,"20210311","정상운영","","2022-04-29","없음","26464",276,"5층 (반곡동)","bV2J/nXX38FEO7FxM0tIUPV5QxgFTZoXC39VP3dA56w=","체력단련장","원주시","","원주시","26464","","2023-02-15","신고","강원도","TK바디브라운 PT전문 혁신점","강원도 원주시 건강로 17(반곡동)","Y","체력단련장업","강원도 원주시 반곡동 1910-1"
"경기도","N","",259,"20070628","폐업","","2017-11-09","없음","",218,"","AEEMCIjBcCc+2N43mHas6e4QWzw6Emr5x5IRypEQwK8=","체력단련장","안성시","","안성시","","","2023-02-15","신고","경기도","썬휘트니스클럽","경기도 안성시 경기도 안성시 죽산면 죽주로 256","Y","체력단련장업","경기도 안성시 경기도 안성시 죽산면 죽주로 256"
"경기도","N","원진빌딩",260,"20230209","정상운영","","2023-02-15","없음","13355",273,"원진빌딩 10층 (성남동)","","체력단련장","성남시","","성남시","13355","","2023-02-15","신고","경기도","밀라노짐","경기도 성남시 중원구 산성대로 106(성남동)","Y","체력단련장업","경기도 성남시 중원구 성남동 3188 원진빌딩"
