addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"강원도","N","",39,"20211105","정상운영","2022-04-29","실내","0","26305",194,"","3ehOCngYw+PrAaMGCOJ9phLMbQETbx0PQD2V4oZ2OgY=","배드민턴","원주시","","원주시","26305","0","2022-04-30","신고","강원도","김석영 배드민턴 체육관","강원도 원주시 소초면 치악로 2716","Y","체육교습업","강원도 원주시 소초면 평장리 668"
"서울특별시","N","올림픽공원 내 벨로드롬 & 케이스포돔 (방이동)",40,"20210924","정상운영","2022-08-26","없음","37.5203396980951","05540",4584,"올림픽공원 내 벨로드롬 & 케이스포돔 (방이동)","PEtg2/hbwTxJDd6asp66KtjuQscuGbTDITlW5zi6tgk=","배드민턴","송파구","방이동","송파구","05540","127.115517876627","2022-08-26","신고","서울특별시","올림픽공원 스포츠센터","서울특별시 송파구 올림픽로 424(방이동)","Y","체육교습업","서울특별시 송파구 방이동 88 올림픽공원"
"경상남도","N","",41,"20220105","정상운영","2022-05-19","없음","34.8720467473591","53017",813,"","9V8BaLq6nMSgi74gkbxt2SvtbX2odlvxivV4ik+gmdQ=","배드민턴","통영시","","통영시","53017","128.415991923023","2022-05-19","신고","경상남도","통영원탑배드민턴센터","경상남도 통영시 광도면 원문마을2길 49-27","Y","체육교습업","경상남도 통영시 광도면 죽림리 564-7"
"경기도","N","",42,"20221011","정상운영","2022-11-07","없음","37.5202146751549","12991",307,"(감북동)","jLkk38kOMv4igIKHxLpcA1PqL8HvBuw4zhUuZRlwogQ=","배드민턴","하남시","","하남시","12991","127.151160791327","2022-11-07","신고","경기도","스킬턴 (Skillton)","경기도 하남시 서하남로43번길 100(감북동)","Y","체육교습업","경기도 하남시 감북동 228-4"
"경기도","N","",43,"20221011","정상운영","2022-11-07","없음","0","12991",248,"(감북동)","EjqkyKcJlPrLPd/xsLTjMkfsZvO7Q1/srenMvy+R9Gw=","배드민턴","하남시","","하남시","12991","0","2022-11-07","신고","경기도","스킬턴 (Skillton)","경기도 하남시 서하남로43번길 106(감북동)","Y","체육교습업","경기도 하남시 감북동 228-11"
"대구광역시","N","",44,"20211111","정상운영","2022-11-14","없음","35.8946384982355","41057",331,"가동 (방촌동)","FkMwCasxP9mWS7BH0CaQIDx7ovqiSHbruX2q020A9e0=","배드민턴","동구","방촌동","동구","41057","128.676992541736","2022-11-14","신고","대구광역시","온 배드민턴","대구광역시 동구 둔산로40길 17(방촌동)","Y","체육교습업","대구광역시 동구 방촌동 36-5"
"인천광역시","N","2층 (오류동)",45,"20220614","정상운영","2022-11-14","실내","37.5961922382476","22656",282,"2층 (오류동)","mNe+Ci2OoksQhIm/Qckacj0Q9YQ0/aeTXG3uNqscm8k=","배드민턴","서구","오류동","서구","22656","126.637051525201","2022-11-14","신고","인천광역시","꿀민턴 스포츠센터","인천광역시 서구 봉화로 33(오류동)","Y","체육교습업","인천광역시 서구 오류동 1726-9"
"강원도","N","",46,"20221214","정상운영","2022-12-25","실내","37.3417826122133","26434",416,"2층 (단계동)","zzrdKmAUH3qzMR3EUvjDGdR94q6QWbzUMQjwlHb4hOc=","배드민턴","원주시","","원주시","26434","127.939696260557","2022-12-25","신고","강원도","윤이콕아카데미","강원도 원주시 단구로 80(단계동)","Y","체육교습업","강원도 원주시 단계동 802-4"
"경기도","N","",47,"20220629","정상운영","2022-12-18","없음","37.3950804905698","12781",627,"","geMM+uVrdaatL3gmFHKnP7jqGRfG/rl/khtiByqCq1c=","배드민턴","광주시","태전동","광주시","12781","127.216557315931","2022-12-18","신고","경기도","배드민턴 해라","경기도 광주시 고불로 194(태전동)","Y","체육교습업","경기도 광주시 태전동 496-2"
"울산광역시","N","1,2동 1층",48,"20221104","정상운영","2022-12-26","실내","35.59349517615","44903",731,"1,2동 1층","C+Ii++wfqUfwQU4hNgO9gkNzjj8BZfnkr09nA4LeRjU=","배드민턴","울주군","지내리","울주군","44903","129.110350646398","2022-12-26","신고","울산광역시","솔배드민턴센터","울산광역시 울주군 상북면 향산다개로 198","Y","체육교습업","울산광역시 울주군 상북면 지내리 797-1"
"강원도","N","",49,"20221019","정상운영","2022-12-13","없음","37.7785297596701","25557",484,"","mMMWKyxRwPpTf3444QiSOQKYujT0ddX7IqMcIFZdrSs=","배드민턴","강릉시","송정동","강릉시","25557","128.929503796801","2022-12-13","신고","강원도","성신스포츠(송정)","강원도 강릉시 송정길33번길 19-6(송정동)","Y","체육교습업","강원도 강릉시 송정동 468"
"강원도","N","",50,"20221006","정상운영","2022-12-13","없음","37.7785297596701","25557",484,"","M2VAD94TQe/4DHJB0LDKmpXbOOzyUNj//duwpE8WUX0=","배드민턴","강릉시","송정동","강릉시","25557","128.929503796801","2022-12-13","신고","강원도","성신배드민턴","강원도 강릉시 송정길33번길 19-6(송정동)","Y","체육교습업","강원도 강릉시 송정동 468"
"광주광역시","N","송원대학교,송원학원",51,"20221201","정상운영","2023-01-26","없음","35.1081845052901","61756",1459,"송원대학교,송원학원 3층 (송하동)","v5k6gH2FlyjZli3503QQouHXfWFqeFmURwDEZj57uO4=","배드민턴","남구","","남구","61756","126.873266442573","2023-01-26","신고","광주광역시","사단법인 송원스포츠클럽","광주광역시 남구 송암로 73(송하동)","N","체육교습업","광주광역시 남구 송하동 365-7 송원대학교,송원학원"
"경기도","N","",52,"20230125","정상운영","2023-01-26","없음","37.6381054614624","10456",266,"","YSP3VhkTwXcI443kOpj9CZPdDnGt3qUiWcrC3CicFQI=","배드민턴","고양시","대장동","고양시 덕양구","10456","126.818405618095","2023-01-26","신고","경기도","트라움스포츠아카데미","경기도 고양시 덕양구 대장길50번길 79-7(대장동)","Y","체육교습업","경기도 고양시 덕양구 대장동 330-9"
"경기도","N","",53,"20230112","정상운영","2023-01-26","없음","37.3289344079828","16811",1992,"","nIQjo406a4qvE+jG7/wdZGT1fFo91racKRif8knAcmI=","배드민턴","용인시","신봉동","용인시","16811","127.0671417836","2023-01-26","신고","경기도","용인시국민체육센터","경기도 용인시 수지구 신봉1로 181(신봉동)","Y","체육교습업","경기도 용인시 수지구 신봉동 963 용인시 국민체육센터"
"경기도","N","",54,"20220103","정상운영","2022-12-28","없음","37.3948625509795","12781",0,"(태전동)","xFwr5orNnyrchEejehxIeaCqeW/YIUj7Pa4HGeV4G+U=","배드민턴","광주시","","광주시","12781","127.222613079029","2022-12-28","신고","경기도","주식회사 크로민턴","경기도 광주시 고불로 138-19(태전동)","Y","체육교습업","경기도 광주시 태전동 383"
"경기도","N","",55,"20211130","정상운영","2022-12-28","없음","37.3562702052462","12798",0,"","FAGRoidxNyYob9aboraVS1Z6PxDRFtw6Fkmfjv6JrSU=","배드민턴","광주시","","광주시","12798","127.250282495085","2022-12-28","신고","경기도","티케이 배드민턴 아레나","경기도 광주시 매자리길 33(매산동)","Y","체육교습업","경기도 광주시 매산동 241-3"
