addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,ftype_nm,cpb_nm,addr_emd_nm,faci_road_zip,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"전라남도","N","",41,"20230131","정상운영","2023-03-08","없음","0","57755",198,"2층 1호","권투","광양시","","57755","0","2023-03-08","신고","전라남도","JR 복싱짐","전라남도 광양시 광양읍 인서중앙길 27","Y","체육도장업","전라남도 광양시 광양읍 인서리 138"
"경기도","N","",42,"20230328","정상운영","2023-05-03","없음","37.3989308074562","13567",235,"","권투","성남시","이매동","13567","127.126420601314","2023-05-03","신고","경기도","대한권투분당","경기도 성남시 분당구 성남대로779번길 17 (이매동)","Y","체육도장업","경기도 성남시 분당구 이매동 106-3 포티스빌딩"
"서울특별시","N","2층",43,"20170523","정상운영","2018-12-21","실내","37.5441022774","05016",124,"2층","권투","광진구","화양동","05016","127.0696091676","2023-03-08","신고","서울특별시","맥코이 복싱클럽(건대점)","서울특별시 광진구 아차산로29길 75 (화양동)","Y","체육도장업","서울특별시 광진구 화양동 34-75"
"경기도","N","",44,"20120314","폐업","2017-09-07","없음","37.58722712583843","12205",446,"","권투","남양주시","덕소리","12205","127.21197308720899","2023-04-29","신고","경기도","엔젤 다이어트 뮤직복싱","경기도 남양주시 와부읍 덕소로 79","Y","체육도장업","경기도 남양주시 와부읍 덕소리 463-4 광성빌딩"
"경기도","N","",45,"20220713","정상운영","2023-02-09","없음","0","17559",139,"골드일번가 203호","권투","안성시","","17559","0","2023-02-09","신고","경기도","위너 복싱 GYM","경기도 안성시 공도읍 공도로 132","Y","체육도장업","경기도 안성시 공도읍 만정리 274-3"
"대구광역시","N","3층",46,"20221121","정상운영","2023-02-17","없음","35.8723361489155","41236",251,"","권투","동구","효목동","41236","128.635335632694","2023-03-01","신고","대구광역시","더아트복싱클럽","대구광역시 동구 화랑로 77(효목동)","Y","체육도장업","대구광역시 동구 효목동 510-3 불광한방병원"
"경기도","N","스타파크",47,"20220110","정상운영","2022-03-08","없음","","12913",174,"스타파크 401호 (망월동)","권투","하남시","망월동","12913","","2023-02-17","신고","경기도","로망핏","경기도 하남시 미사강변남로 87, 스타파크 401호 (망월동)","Y","체육도장업","경기도 하남시 망월동 1119 스타파크 "
"경기도","N","",48,"20230214","정상운영","2023-02-16","없음","37.6363037573574","10068",351,"","권투","김포시","마산동","10068","126.643969521885","2023-02-17","신고","경기도","한국체대 복싱","경기도 김포시 김포한강8로162번길 10(마산동)","Y","체육도장업","경기도 김포시 마산동 650-7"
"","N","806호",49,"20161231","정상운영","2016-12-31","실내","37.7247064367","10874",138,"806호","권투","파주시","동패동","10874","126.7177582161","2023-04-07","신고","경기도","타이거짐복싱클럽","경기도 파주시 청석로 256 (동패동)","Y","체육도장업","경기도 파주시 동패동 1694-2 교하일번가빌딩"
"경기도","N","",50,"20220408","정상운영","2022-04-14","실내","","15466",151,"3층 (고잔동)","권투","안산시","","15466","","2023-03-04","신고","경기도","화랑복싱","경기도 안산시 단원구 광덕3로 213, 3층 (고잔동)","Y","체육도장업","경기도 안산시 단원구 고잔동 741 "
"경상남도","N","경원빌딩",51,"20230331","정상운영","2023-04-07","없음","0","50948",149,"경원빌딩 5층 501호 (외동)","권투","김해시","","50948","0","2023-04-07","신고","경상남도","팀매드","경상남도 김해시 함박로101번길 8 (외동)","N","체육도장업","경상남도 김해시 외동 1253-3 경원빌딩"
"","N","",52,"20151026","정상운영","2017-09-07","실내","37.715664699041234","12015",299,"","권투","남양주시","","12015","127.17882617952372","2023-03-17","신고","경기도","신도권투체육관","경기도 남양주시 진접읍 장현로47번길 1","Y","체육도장업","경기 남양주시 진접읍 장현리 607-2"
"대전광역시","N","",53,"20211129","정상운영","2023-03-16","없음","0","35294",231,"602호 (괴정동)","권투","서구","","35294","0","2023-03-17","신고","대전광역시","덤피니쉬 주짓수&복싱MMA","대전광역시 서구 갈마로 255(괴정동)","Y","체육도장업","대전광역시 서구 괴정동 91-22"
"부산광역시","N","벽산이오렌지프라자",54,"20230127","정상운영","2023-02-13","없음","0","48118",2600,"벽산이오렌지프라자 2층 211호 (우동)","권투","해운대구","","48118","0","2023-02-13","신고","부산광역시","팀매드","부산광역시 해운대구 마린시티3로 23(우동)","Y","체육도장업","부산광역시 해운대구 우동 1435 벽산이오렌지프라자"
"충청남도","N","",55,"20150922","정상운영","2016-12-27","실내","36.8956356622","31776","","","권투","당진시","읍내동","31776","126.6348931044","2023-02-18","신고","충청남도","타이거 복싱 체육관","충청남도 당진시 당진중앙2로 212-10 (읍내동, 신성아파트)","Y","체육도장업","충청남도 당진시 읍내동  25-6 신성아파트"
"경기도","N","",56,"20230412","정상운영","2023-04-13","실내","37.7100429843494","10909",162,"(야당동)","권투","파주시","","10909","126.769199009615","2023-04-13","신고","경기도","뻔치복싱스튜디오","경기도 파주시 번뛰기길 60 (야당동)","Y","체육도장업","경기도 파주시 야당동 185-19"
"서울특별시","N","지층",57,"20230329","정상운영","2023-04-18","실내","37.6286035478846","01224",120,"","권투","강북구","번동","01224","127.040039504413","2023-04-18","신고","서울특별시","번동탑짐(주짓수,킥복싱,무에타이,복싱)","서울특별시 강북구 오현로34길 12 (번동)","Y","체육도장업","서울특별시 강북구 번동 308-3 창암빌딩"
"","N","효승빌딩 지층",58,"20150302","정상운영","2016-12-31","실내","","05257",132,"효승빌딩 지층 (명일동)","권투","강동구","","05257","","2023-03-11","신고","서울특별시","SMK GYM mma boxing","서울특별시 강동구 양재대로141길 14, 효승빌딩 지층 (명일동)","Y","체육도장업","서울특별시 강동구 명일동 312-82 효승빌딩 지층 "
"","N","",59,"20101109","폐업","2016-12-31","","37.5072596111","","","","권투","부평구","","","126.733548876","2020-06-19","신고","인천광역시","현대권투체육관","인천광역시 부평구 길주로 639  (삼산동,현대아이프라자303호)","Y","체육도장업","인천광역시 부평구 길주로 639  (삼산동,현대아이프라자303호)"
"경기도","N","",60,"20221115","정상운영","2023-03-06","없음","37.4669264206575","14786",0,"","권투","부천시","옥길동","14786","126.823527903599","2023-03-06","신고","경기도","팀 몬스터 복싱","경기도 부천시 옥길로 110-25(옥길동)","Y","체육도장업","경기도 부천시 옥길동 744-1 부천옥길대우센트럴프라자"
"경기도","N","2층",61,"20230223","정상운영","2023-03-06","실내","37.2693256836479","16524",166,"2층 (매탄동)","권투","수원시","","16524","127.047433533647","2023-03-06","신고","경기도","미스터 복싱 짐","경기도 수원시 영통구 매영로 41(매탄동)","Y","체육도장업","경기도 수원시 영통구 매탄동 199-76"
"","N","",62,"20120611","정상운영","2016-12-31","실내","37.6583659125","","","","권투","노원구","","","127.075432043","2023-03-14","신고","서울특별시","비전복싱체육관","서울특별시 노원구 덕릉로 680","Y","체육도장업","서울특별시 노원구 덕릉로 680"
"서울특별시","N","",63,"20161231","정상운영","2016-12-31","실내","37.5703356531","120070",193,"","권투","서대문구","","120070","126.96184846","2023-02-20","신고","서울특별시","서대문복싱클럽","서울특별시 서대문구 통일로 189-1, 4층 (영천동)","Y","체육도장업","서울 서대문구 통일로 189-1"
"서울특별시","N","",64,"20131118","정상운영","2016-12-31","실내","37.55392409104709","05269",391,"","권투","강동구","명일동","05269","127.1555648831467","2023-02-20","신고","서울특별시","상무S복싱클럽","서울특별시 강동구 동남로75길 13-7 (명일동)","Y","체육도장업","서울특별시 강동구 명일동 47-6 배재빌딩"
