addr_ctpv_nm,nation_yn,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,sdwn_ymd,faci_gfa,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"","N",293,"19961029","정상운영","2016-11-07","실내","35.568302267","681754","",313,"FjqywbKLsf9RxaFChzrVX3foWDvf1aq6eId2NdcMsts=","태권도","중구","","","681754","129.330929011","2023-05-09","신고","울산광역시","동대태권도","울산광역시 중구 도화골길 28, 남운럭기상가 5동 202호,203호,204호 (복산동)","Y","체육도장업",""
"","N",294,"20051011","정상운영","2016-12-31","실내","35.1936250865","506834","",260,"F/cyJPfZY2K1YaM+jk+Ey4S06aZeML7q/MX2oC9PX8o=","태권도","광산구","","","506834","126.833517528","2023-05-09","신고","광주광역시","유성체육관","광주광역시 광산구 신창로71번길 33, 상가동 303호 (신창동, 신창2차부영사랑으로아파트)","Y","체육도장업","광주 광산구 신창로71번길 33"
"인천광역시","N",295,"20161221","정상운영","2016-12-21","실내","37.5957875476","22643","",209,"8ZvVOM2liJN3jLFTt7NbGkREHLsopbZjtXtJWRVnNDE=","태권도","서구","마전동","서구","22643","126.6758148136","2023-03-13","신고","인천광역시","고려 청룡 태권도","인천광역시 서구 원당대로685번길 31 (마전동)","Y","체육도장업","인천광역시 서구 마전동  1055-1 당하3차 풍림아이원아파트 상가"
"","N",296,"","정상운영","2016-12-26","실내","37.634422899","10551","",131,"AqNWFfFXeMEFoEEi84a2bTLSRWmDAx+4MiotrvFyW1A=","태권도","고양시","도내동","","10551","126.8719925015","2020-07-27","신고","경기도","형제화랑태권도장","경기도 고양시 덕양구 도래울로 104 (도내동)","Y","체육도장업","경기도 고양시 덕양구 도내동  964 KB골든타워"
"충청남도","N",297,"20220627","정상운영","2022-09-03","없음","36.8120944375139","31127","",265,"wCr3wirrvyxbDwJqgKKhgysOiaK6g/unErGp8P0RdyQ=","태권도","천안시","","천안시","31127","127.153473836838","2023-02-18","신고","충청남도","용인대 하늘빛 태권도장","충청남도 천안시 동남구 성황로 40(문화동)","Y","체육도장업","충청남도 천안시 동남구 문화동 1-4"
"","N",298,"20160722","정상운영","2016-12-31","실내","37.452015127131865","22188","",94,"nbgYjhabdOMquN+mIBn0I6I9WlwytqtFlRmfCtYJblo=","태권도","남구","","","22188","126.64506286182653","2022-07-05","신고","인천광역시","MTA태권도장","인천광역시 미추홀구 용정공원로 33","Y","체육도장업","인천 미추홀구 용현동 664"
"대구광역시","N",299,"20161231","정상운영","2016-12-31","실내","","41426","",246,"LS8XFzkhzGkphni7u0kISIzn60TwWZbAJj44lR9sNuU=","태권도","북구","","북구","41426","","2023-02-18","신고","대구광역시","e그린 바람소리 태권도장","대구광역시 북구 동천로24길 12, 상가동 지하101호 (동천동, 부영그린타운)","Y","체육도장업","대구광역시 북구 동천동 914 부영그린타운 상가동 지하101호"
"경기도","N",300,"20210111","정상운영","2023-05-01","없음","37.1994228865715","18429","",174,"","태권도","화성시","능동","화성시","18429","127.055822753229","2023-05-01","신고","경기도","S&Y유소년 체육센터&태권도","경기도 화성시 10용사로 343-2 (능동)","Y","체육도장업","경기도 화성시 능동 1152-5 폴리클리닉"
"경기도","N",301,"20080421","정상운영","2023-05-01","없음","37.2095328215863","18431","",122,"","태권도","화성시","능동","화성시","18431","127.059601540365","2023-05-01","신고","경기도","용인대석사태권도","경기도 화성시 동탄지성로 143 (능동)","Y","체육도장업","경기도 화성시 능동 1114-2 에버스타"
"경기도","N",302,"20200702","정상운영","2023-03-17","없음","37.0064851337876","17577","",341,"","태권도","안성시","","안성시","17577","127.252680346013","2023-03-18","신고","경기도","용인대 비호태권도장(1관)","경기도 안성시 아양3로 49(옥산동)","N","체육도장업","경기도 안성시 옥산동 554-1"
"","N",303,"","정상운영","2016-12-31","","35.8428759261","","",157,"5L7CRLHrGPuV+2JOi+kfIROtfjZHJqd/78KycUfBsvU=","태권도","경주시","","","","129.189075993","2020-07-27","신고","경상북도","대덕천하태권도장","경상북도 경주시  충효2길 25 (충효동)","Y","체육도장업","경상북도 경주시  충효2길 25 (충효동)"
"전라남도","N",304,"20160623","정상운영","2023-03-21","없음","34.9813634804767","57736","",195,"","태권도","광양시","","광양시","57736","127.579472426948","2023-03-21","신고","전라남도","MPK 태권도장","전라남도 광양시 광양읍 서평8길 23","Y","체육도장업","전라남도 광양시 광양읍 구산리 770-1"
"광주광역시","N",305,"20161107","폐업","2016-11-07","","35.1698704557","500831","20230317",106,"28kdtbvLqyokhwRg+6Yzg/oeWA4bN/OehvpMcI2phqI=","태권도","북구","","북구","500831","126.900569846","2023-03-18","신고","광주광역시","용봉태권도","광주광역시 북구 서암대로 147-2 (신안동)","Y","체육도장업","광주 북구 서암대로 147-2"
